STOK_KODU;CARISTOK_KODU;Parça No;Parça No1;Parça No2;Buffer;Depo;Pasif
35454-100;16CT54-0;133707/00;133707/00;;;;
35455-100;46DX22-0;133692/00;133692/00;132-775/00;;;
35456-100;53HP71-0;;103140055025/00;103140055025/00;;;
35457-100;14VV28-0;204560DBX022/03;204560DBX022/03;104.560.DBX.022/02;;;
35458-100;23JF55-3;71MM49-3;;363999DBX040/03;;;
35459-100;58PX47-0;203060AVV023/01;203060AVV023/01;;;;
35460-100;47DB11-0;373640RGL025/00;373640RGL025/00;173640RGL025/00;;;
35461-100;53HQ05-0;;103160055025/00;103160055025/00;;;
35462-100;32UU94-0;32UU94-3;;318581/02;;;
35463-100;83YX21-1;83YX27-3;;;;;
35464-100;27KF59-0;103140055026/00;103140055026/00;103140055026/00;;;
35465-100;53HM40-0;;;103080055025/00;;;
35466-100;53HQ07-0;;;103200055025/00;;;
35467-100;13EV91-3;13EV91-3;;164640RGL022/01;;;
35468-100;84PM05-0;;104100DBX021/02;104100DBX021/02;;;
35469-100;39YV40-0;247440056021/01;247440056021/01;;;;
35470-100;83UM59-0;033702/00;033702/00;033-704/00;;;
35471-100;16DV42-3;94UY03-3;;;;;
35472-100;23VD55-3;23VD55-3;;134122/00;;;
35473-100;97MN61-1;97MN64-3;;147.480.056.021/02;;;
35474-100;19DR55-3;19DR55-3;;133935/00;;;
35476-100;45HX87-0;;;103240055025/01;;;
35477-100;77HK11-0;77HK11-3;;334-140/00;;;
35478-100;61VR88-0;61VR88-3;;164640RGH022/02;;;
35480-100;03DD21-0;03DD21-3;;332722/00;;;
35481-100;63TF57-0;64GP25-3;;104-320-DBX-022/00;;;
35482-100;88XV70-0;88XV70-3;;134446-02;;;
35483-100;05QQ47-0;;;103160055022/02;;;
35484-100;87MB92-0;;;103200055026/01;;;
35485-100;90JP88-0;90JP88-3;;234315/00;;;
35486-100;44MA94-0;44MA94-3;;234462/00;;;
35487-100;19LT84-0;19LT84-3;;;;;
35488-100;36LF16-0;36LF16-3;234521/00;234521/00;;;
35489-100;92VL87-0;92VL87-3;;334567/00;;;
35490-100;60NF76-0;60NF76-3;;233957/01;;;
35491-100;14LS81-0;14LS81-3;;147400056021/01;;;
35492-100;77DY21-0;;;134701/00;;;
35493-100;46EP26-0;;;134704/00;;;
35494-100;74QJ09-0;74QJ09-3;;234480/00;;;
35495-100;98PN28-0;98PN28-3;;334712/00;;;
35496-100;15RW38-0;;;134808/01;;;
35497-100;03MG18-0;;;134758/00;;;
35498-100;77HX09-0;;;103140055022/00;;;
35499-100;34HB57-0;;;103080DBX021/00;;;
35500-100;34YN17-1;;;;;;
35501-100;45ED34-0;45ED34-3;;;;;
35502-100;71LJ15-0;;;148999DBX024/00;;;
35503-200;10KX24-0;;119494/00;119494/00;;;
35504-100;45TE42-0;45TE42-3;;272999RGH050/01;;;
35506-100;38ES62-0;272999RGH080/01;272999RGH080/01;272999RGH080/01;;;
35507-100;44GW93-0;272999RGH090;;;;;
35508-100;11FW03-0;11FW03-3;;119_089/03;;;
35509-100;27TL30-0;318792/01;;;;;
35510-100;41EH89-0;41EH89-3;;272999RGH075/01;;;
35511-100;54BH11-0;;;272999RGE044/00;;;
35512-100;62HN83-0;62HN83-3;;390200RGE050;;;
35513-100;44JY04-0;44JY041-3;;390280RGE065;;;
35514-100;45XX61-0;45XX61-3;;332707/00;;;
35515-100;14CL73-0;14CL73-3;;390640RGL100/00;;;
35516-100;85HF96-0;85HF96-3;;319096/00;;;
35517-100;39TJ51-0;;;248-999DBX026;;;
35518-100;76WY80-0;;;248999DBX027/00;;;
35519-100;55MY30-0;;;231352/00;;;
35520-100;21MB79-3; ;;219092/00;;;
35521-100;37BM21-0;;;219091/00;;;
35522-100;34VC55-0;;;;;;
35523-100;51XP44-0;;;;;;
35524-100;59DM22-0;;;;;;
35525-100;35525-0;43TB46;;313405/01;;;
35526-100;20EV88-0;;;104080014021/02;;;5
35527-100;03FP55-0;;;104180DBX022/00;;;
35528-100;32EK71-0;;103180DBX022/00;103180DBX022/00;;;
35529-100;34MW84-0;34MW84-3;;262180DBX021/01;;;
35530-100;13MN90-0; ; ;148360056021/01;;;
35531-100;67LY08-0; ; ;148360056021/01;;;
35532-100;44LQ58-0; ; ;103240017021/01;;;
35533-200;11ST15-3;11ST15-3;318550/01;318550/01;;;
35534-100;12UE69-0;12UE69-3;;333109/00;;;
35535-100;90KK91-0; ; ;262360DBX021/02;;;
35536-100;41NN58-0;84FE99-3;;164560RGL022/02;;;
35537-100;67HR11-0;67HR11-3;;133_479/00;;;
35538-100;30EL63-0;;;118510/00;;;
35539-100;86YG30-0;86YG30-3;262640DBX021/00;262640DBX021/00;;;
35540-100;53TV94-3;53TV94-3;;133576/01;;;
35541-100;29KC54-3;98QD86-3;;104300DBX021/02;;;
35542-100;08HX40-3;333482;333482;;;;
35543-100;04JG95-0;133499/00;133499/00;133.516/00;;;
35544-100;58YV10-0;262360DBX121/01;262360DBX121/01;262.360.DBX.021/04;;;
35545-100;51JQ46-0;;131493/00;131493/00;;;
35546-100;69EU82-0;;104060DBX021/02;104060DBX021/02;;;
35547-100;45TT41-0;68HB22-3;103060DBX021/00;103060DBX021/00;;;
35548-100;34DS47-0;233386/01;233386/01;233386/01;;;
35549-100;53HL29-0;103040055025/00;103040055025/00;103040055025/00;;;5
35550-100;48NS36-0;322136/00;322136/00;;;;
35551-100;09HP70-3;131858/00;131-858;;;;
35552-100;39QT58-0;132227/00;132227/00;132227/00;;;
35553-100;64ER32-0;;;337123/00;;;
35555-100;45HJ23-0;103.060.055.024/01;103.060.055.024/01;;;;
35556-100;81HS87-0;103.240.055.026/02;103.240.055.026/02;;;;
35557-100;12YF48-0;333387/00;333387/00;;;;
35558-100;39KG18-0;331782/00;331782/00;;;;
35559-100;98SS75-0;333384/00;333384/00;;;;
35560-100;19CH54-3;92AG93-3;333561/02;333561/02;;;
35561-100;85ES69-0;333467/00;333467/00;;;;
35562-200;64MN06-0;333517/00;333517/00;333517/00;;;
35564-200;74KE02-0;333407/00;333407/00;333407/00;;;
35565-100;28DD56-0;28DD56-3;;333678/00;;;
35566-100;92LQ04-0;92LQ04-3;;333679/00;;;
35567-100;48TJ55-0;48TJ55-3;;334039/00;;;
35568-100;42HR32-0;262440DBX021/02;262440DBX021/02;262440DBX021/02;;;
35569-100;70YC40-0;70YC40-3;;104.440.DBX.021/03;;;
35570-100;11UW67-0;;;122279/00;;;
35571-100;11QJ19-0;;;103480055022/00;;;
35572-100;24EA92-0;24EA92-3;;134_271/00;;;
35573-100;11SE07-0;;;122376/00;;;
35574-100;41LT43-0;41LT43-3;;;;;
35575-100;13XK24-0;13XK24-3;;;;;
35576-100;64BY75-0;64BY75-3;;104.560.DBX.021/04;;;
35577-100;66HA32-0;66HA32-3;;318190/01;;;
35578-100;44YP27-3;62CV54-3;;319096/02;;;
35579-100;10DR11-0;;;103100DBX021/01;;;
35580-100;27GW31-0;;;103120DBX022/03;;;
35581-100;59VF15-0;;;103160DBX052/00;;;
35582-100;53PL29-0;;;104080DBX021/02;;;
35583-100;52HW10-0;;;103200055024-02;;;
35584-100;64QT92-0;64QT92-3;;103040DBX021/00;;;
35585-100;75GE77-0;75GE77-3;;104040DBX021/00;;;
35586-100;23HK90-0;;;104400DBX022/01;;;
35587-100;44YH59-0;44YH59-3;;203030AVV023/00;;;
35588-100;47ET38-0;47ET38-3;;321040AVV021/02;;;
35589-100;33XS43-0;33XS43-3;;381040AVV021/01;;;
35590-100;27BX41-0;27BX41-3;;204040AVV021/00;;;
35591-100;20WN50-0;20WN50-3;;293000AVV008/00;;;
35592-100;84UU46-0;84UU46-3;;262120DBX021/01;;;
35593-100;74KU85-0;74KU85-3;;262100DBX021/01;;;
35594-100;71FT82-0;71FT82-3;;262080DBX021/01;;;
35595-100;82NP96-0;92NP96-3;;262060DBX021/00;;;
35596-200;53TB54-0;;;103200055025/00;;;
35597-100;31XS32-0;31XS32-3;;148320056021/01;;;
35598-100;44VN81-0;44VN81-3;;148480056021/01;;;
35599-100;92PF82-0;92PF82-3;;248999DBX045/00;;;
35600-100;15EU31-0;15EU31-3;;248999DBX030/00;;;
35601-200;85CU87-0;259040415021/01;259040415021/01;159040415021/01;;;
35602-100;72BY60-0;72BY60-3;;234995/00;;;
35603-100;98CP20-0;98CP20-3;;262040DBX021/00;;;
35604-100;52BE14-1;;;122534/01;;;
35605-100;70DK06-0;;;122545/00;;;
35606-100;85KJ12-0;;;104120DBX022/01;;;
35607-100;76XT75-3;92TD47-3;;148560056021/01;;;
35608-200;89UD88-0;;;103240055026/02;;;
35609-100;25NU68-0;25NU68-3;;262200DBX021/01;;;
35610-100;62DE46-3;78UU92-3;336052/00;336052/00;;;
35611-100;05KQ62-0;05KQ62-3;;336049/00;;;
35612-100;22FP47-0;22FP47-3;;336045/00;;;
35613-100;51KX89-0;51KX89-3;;333956/00;;;
35614-100;12JF14-3;34QG66-3;;248999DBX060/01;;;
35615-100;86HT46-0;86HT46-3;;148640056021/01;;;
35616-100;18KH35-0;;;147400056021/01;;;
35617-200;88WV09-0;;;103120055024/01;;;
35618-200;27ST73-0;;;103200055024/02;;;
35619-200;05KV58-0;;;103160055024/01;;;
35620-100;11FB45-3;11FB45-3;;104320DBX021/03;;;
35621-100;58BE12-0;;;104520DBX021/01;;;
35622-100;21UP19-0;21UP19-3;;148280056021/01;;;
35623-100;33DD56-0;33DD56-3;;148320056021/01;;;
35624-100;12JD70-0;;;131561/00;;;
35625-100;93MC23-0;93MC23-3;;148320056021/01;;;
35626-100;90MJ02-0;90MJ02-3;;336349/01;;;
35627-100;96LH25-0;96LH25-3;;336325/01;;;
35628-100;44EJ68-0;44EJ68-3;;336199/00;;;
35629-100;30UD10-0;30UD10-3;;236285/01;;;
35630-100;43FP12-0;43FP12-3;;336049;;;
35631-100;77KG59-0;77KG59-3;;236334/00;;;
35632-100;83BY42-0;;;248999DBX030/00;;;
35633-100;85XR32-0;85XR32-3;;248999DBX040/00;;;
35634-100;44NQ45-0;44NQ45-3;;436410/00;;;
35635-100;18CG11-0;18CG11-3;;272999DBX030/00;;;
35636-100;25GN45-0;25GN45-3;;336363/00;;;
35637-100;56HD06-0;56HD06-3;;336326/00;;;
35638-100;79UV24-0;;;103180DBX021/00;;;
35639-100;17BH27-0;;;104180DBX021/01;;;
35640-100;52DP75-0;;;104280DBX021/02;;;
35641-100;01GY25-0;01GY25-3;;248999DBX050/00;;;
35642-100;25MR27-0;25MR27-3;;248999DBX070/01;;;
35643-100;00BL86-0;00BL86-3;;336479/00;;;
35644-100;04LW32-0;04LW32-3;;336482/00;;;
35645-100;22TX81-0;104200DBX022-01;104200DBX022-01;104200DBX022-01;;;
35646-100;41GF01-0;41GF01-3;;262640DBX021/02;;;
35647-100;36PK39-3;71UT62-3;;262480DBX121/01;;;
35648-100;89TP92-0;;;104120DBX021/03;;;
35649-100;39GG17-0;39GG17-3;;262120DBX121/01;;;
35650-100;35MF73-0;35MF73-3;;262280DBX121/01;;;
35651-100;85VB44-0;85VB44-3;;262320DBX121/01;;;
35652-100;19PM77-0;19PM77-3;;032513/01;;;
35653-100;60XP27-0;;;104280DBX021/02;;;
35654-200;63HG55-0;;;103240055022/03;;;
35655-100;76RY06-0;;;136731/00;;;
35656-100;96XK49-0;96XK49-3;;332401/01;;;
35657-100;64XB47-0;64XB47-3;;218799-02;;;
35658-100;43QE72-0;43QE72-3;;272999DBX070-00;;;
35659-100;21FS11-0;;;162320DBX021/00;;;
35660-100;05BJ15-0;;;203020AVV023/00;;;5
35661-100;71WT72-0;71WT72-3;;262480DBX021/03;;;
35662-100;88VV98-0;;;337118/00;;;
35663-100;85YC56-0;;;104100DBX024/00;;;
35673-100;43SJ58-3;#YOK;#YOK;#YOK;;;
35674-100;68SG67-0;68SG67-3;;148999DBX100/00;;;
35675-100;49CQ27-0;49CQ27-3;;248999DBX060/01;;;
35676-100;95FY08-0;95FY08-3;;148280056021/01;;;
35677-100;03YD72-0;03YD72-3;;148720056021/01;;;
35678-100;22WF95-0;22WF95-3;;332015/01;;;
35679-100;88DC84-3;88DC84-3;;232777/00;;;
35680-100;48WH45-0;48WH45-3;;336622/00;;;
35699-100;54EX33-0;54EX33-3;;248999DBX025/01;;;
35700-100;40QT33-0;40QT33-3;;203020AVV025/01;;;5
35701-100;40GN12-0;40GN12-3;;203030AVV025/01;;;5
35702-100;07XF47-0;07XF47-3;;136039/00;;;
35703-200;71SN30-0;;;103140055024/01;;;
35704-100;16AH67-3;26AE78-3;; ;;;
35705-100;71PY05-0;;;;;;
35706-100;01FU66-0;67NX95-3;;203080AVV023/02;;;
35707-100;27TB22-0;27TB22-3;;;;;
35708-100;99CU19-0;203080AVV024/02;203080AVV024/02;203080AVV024/02;;;
35709-100;69RE55-0;69RE55-3;;134037/01;;;
35710-100;03AN05-0;03AN05-3;;134194/00;;;
35711-100;53HM06-0;;;103060055025/00;;;
35712-100;75VL61-0;75VL61-3;;262800DBX021/01;;;
35713-200;SAM350-0;;;103140015021/02;;;
35714-200;SAM400-0;;;103160015021/02;;;
35715-200;30JW75-0;;;103060055025/00;;;
35716-200;SAM450-0;;;103180015021/02;;;
35717-100;96NE01-0;;;104640DBX021/03;;;
35718-200;SAM500-0;;;103200015021/02;;;
35719-200;SAM600-0;;;103240015021/02;;;5
35720-100;43QG33-0;;;103140014021/01;;;
35721-100;46BS33-0;46BS33-3;;262640DBX021/02;;;
35722-100;34JH78-0;34JH78-3;;148560056021/01;;;
35723-100;15RX27-0;15RX27-3;;148800560021/01;;;
35724-100;29PB27-0;29PB27-3;;148640056021/01;;;
35725-200;38SR08-0;;;103140014021/01;;;
35726-100;83UY52-0;83UY52-3;;14826C056021/00;;;
35727-100;45RM67-0;;;104240DBX021/03;;;
35728-100;53WJ41-0;;;104480DBX021/02;;;
35729-100;55RJ96-0;55RJ96-3;;262800DBX021/02;;;
35730-100;58KL12-0;;;104320DBX021/03;;;
35731-200;38LN20-0;;;103360055021/00;;;
35732-100;95LB55-0;95LB55-3;;336525/00;;;
35733-200;07HJ01-0;;;103140055022/00;;;
35734-200;09TN66-0;;;103040055025/00;;;
35735-200;57HE73-1;;;103080055025/00;;;
35736-100;26FK87-0;;;104120DBX022/01;;;
35737-100;37UW96-0;336-737/00;336-737/00;336-737/00;;;
35738-100;33VL99-0;336-690/00;336-690/00;336-690/00;;;
35739-100;77AW77-0;332-1054/00;332-1054/00;332-1054/00;;;
35740-100;45RU37-3;45RU37-3;;337027/00;;;
35750-100;85GV84-1;85GV84-3;;;;;
35751-100;34SB96-0;34SB96-3;;;;;
35752-100;95RP62-0;95RP62-3;;;;;
35753-100;91WM35-3;91WM35-3;;;;;
35754-100;16XJ36-0;;;;;;
35755-100;25HY43-0;;;103100055024/01;;;
35756-100;63TU91-0;64RX07-3;;103360015021/01;;;
35757-100;86QX56-0;;;337178/00;;;
35770-100;09LX02-0;09LX02-3;;381025AVV021/01;;;
35771-100;66TH72-0;66TH72-3;;;;;
35772-100;10WT33-0;10WT33-3;;381060AVV021/01;;;
35773-100;01RK11-3;01RK11-3;;381080AVV021/01;;;
35774-100;37BC53-0;;;;;;
35775-100;31ED65-0;;;333956/00;;;
35776-100;05BJ59-0;;;337108/00;;;
35777-100;73UY84-0;;;234480/00;;;
35778-100;88NX31-0;;;337161/00;;;
35779-100;50PH60-0;;;337156/00;;;
35780-100;77BN18-0;;;337160/00;;;
35781-100;59CN37-0;;;148640056021/01;;;
35782-100;13QV56-0;;;148999DBX070/00;;;
35783-100;56NU33-0;;;148999DBX100/00;;;
35784-100;69WP85-0;;;162360DBX021/00;;;
35790-100;39JG35-0; ;;321020AVV021/03;;;5
35791-100;09TV05-0;09TV05-3;;321040AVV021-03;;;5
35792-100;44KY40-0;;;;;;
35793-100;75AV73-0;75AV73-3;;218799/02;;;
35794-100;75XK38-0;75XK38-3;;321060AVV021/01;;;
35795-100;63WU22-0;85UG43-3;;;;;
35796-100;14KM43-0;14KM43-3;;272-999DBX070/00;;;
35797-100;03PU90-0;03PU90-3;;;;;
35798-100;94ET63-0;121390;;;;;
35799-100;87RM51-0;2121390;;;;;
35800-100;81PQ00-0;121390/01;;;;;
35801-100;37FH94-0;37FH94-3;;248999DBX025/01;;;
35802-100;03RJ91-0;03RJ91-3;;433437/00;;;
35803-100;19WJ39-0;;;136089/00;;;
35804-100;40RS32-0;40RS32-3;;333450/01;;;
35805-100;06LX29-0;06LX29-3;;236162/00;;;
35806-100;74JW60-0;74JW60-3;;248999DBX035/00;;;
35807-200;58VR32-0;;;103200055022/02;;;
35808-200;12JJ03-0;;;103240055025/01;;;
35850-100;34YK90-0;;;;;;
35851-100;90AH39-0;373480RGL016/00;373480RGL016/00;173480RGL016/01;;;
35852-100;70RR91-0; ;;173480RGH016/01;;;
35853-100;22QK22-0;22QK22-3;;;;;
35854-100;34TH36-0;373480RGL025/01;373480RGL025/01;173480RGL025/00;;;
35855-100;27FU64-0;27FU64-3;;173400RGL014/01;;;
35856-100;85NW26-0; ;;173400RGH014/01;;;
35857-100;53RL67-0;;;;;;
35858-100;43LR63-0;373280RGL014/00;;;;;
35860-100;75FV33-0;;;;;;
35861-100;08CK63-0;221285/00;;;;;
35880-100;74QW54-0; ;;318-512;;;
35881-200;85VB65-0;25PE67-3;;316832/01;;;5
35900-100;53YC57-0; ;;318-313/01;;;
35901-100;85SK87-0;85SK87-3;;;;;
35902-100;04FK23-3;231193-00;231193/00;231193/00;;;
35903-100;96LT47-0;96LT47-3;;;;;
35904-100;46EH86-0;46EH86-3;;;;;
35905-100;05EU28-0;05EU28-3;;331200/04;;;
35906-100;36CB95-0;;;;;;
35907-100;56KR06-0;321199-00;;;;;
35908-100;87AP58-0;87AP58-3;;431012/00;;;
35909-100;73QY75-0;73QY75-3;;318514/01;;;
35910-100;12TV85-0;12TV85-3;;;;;
35911-100;16LJ14-0;293000AVV009/00;;;;;
35912-100;12BC35-0;431118;;;;;
35913-100;97JC64-0;431119/00;;;;;
35914-100;06LW42-3;2616772;;;;;
35915-200;59EP84-0;331486;;;;;
35916-100;20VK70-0;331448/00;331448/00;331448/00;;;
35917-100;25HK85-0;;;103240055021/05;;;
35918-100;25KN27-0; ;;104140DBX021-02;;;
35919-100;52MY51-0;52MY51-3;;103140DBX021-01;;;
35920-100;57CB01-0; ;104100009021/01;104100009021/01;;;
35923-100;27VG51-0;131531;;;;;
35924-100;55PU47-0;55PU47-3;;131493;;;
35925-100;35VF02-0; ;;148960056021/01;;;
35926-100;03HS62-0; ;103160055021/04;103160055021/04;;;
35927-100;40UV30-0;321488/01;;;;;
35928-100;78EN92-0;;;104040014021/03;;;5
35929-100;84VE66-3;;;103200055021/05;;;
35930-100;02WJ74-0; ;;;;;
35931-100;32CS11-1;;;119358/00;;;
35932-100;30LT92-1; ;;104320DBX022;;;
35933-100;43NS66-0; ;;103320DBX022/02;;;
35934-100;80BQ13-0;272999RGH100/00;;;;;
35935-100;21HC92-0;331454;;;;;
35936-100;21QN20-0;;;;;;
35937-100;36AK07-3;131594;;;;;
35938-100;40XY35-0;202120055121/03;;;;;
35939-100;41SB50-0;204720DBX021/03;;;;;
35940-100;07SV06-0; ;;103320055021/00;;;
35941-100;00MB34-3; ;;104640DBX021/03;;;
35942-100;44DJ66-0;104030009021/01;;;;;
35943-100;20HT75-3;103300017022/00;103300017022/00;103300017022/00;;;
35944-100;73YR44-0; ;;331127/00;;;
35945-200;24DG08-0; ;103180055021/02;103180055021/02;;;
35946-200;74GR03-0; ;103160055021/04;103160055021/04;;;
35947-100;64YP73-0;64YP73-3;;104480DBX021/02;;;
35948-100;65MR45-0;104240015021/02;104240015021/02;104240015021/02;;;
35949-200;79GM76-0;103240055021/05;103240055021/05;103240055021/05;;;
35950-100;00JD37-0; ;;103120055021/03;;;
35951-100;43HY44-0; ;;103140055021/03;;;
35952-100;46JN00-0;262720DBX021/01;;;;;
35953-100;50TH47-0;131610/01;;;;;
35954-100;50JX99-0; ;;147480056021/02;;;
35955-200;55DV99-0;103060055021/03;;;;;
35956-200;05BA77-0;103320055021/00;103320055021/00;103320055021/00;;;
35957-200;69GD30-0;103200055021/05;103200055021/05;103200055021/05;;;
35958-200;24GA93-0;103120055021/03;103120055021/03;103120055021/03;;;
35959-100;00GF13-0;12168/01;12168/01;;;;
35960-100;20NW46-0;131676/00;131676/00;;;;
35961-100;71QN89-0;131667/00;131667/00;;;;
35962-100;71KV08-0; ; ;148320056021/01;;;
35963-100;26MZ02-0; ;;148640056021/01;;;
35964-100;67VY51-0;121390/00;121390/00;121390/00;;;
35965-100;28MW66-0; ; ;148480056021/01;;;
35966-100;31KR16-0; ;147600056021/02;147600056021/02;;;
35967-100;68PD47-0;103480055021/00;103480055021/00;103480055021/00;;;
35968-100;55LT02-3; ; ;148800056021/01;;;
35969-100;30TJ46-0;103400055022;103400055022;103400055022;;;
35970-100;63GY18-0;103360055021;103360055021;103360055021;;;
35971-100;47JG47-0;131746/00;131746/00;131746/00;;;
35972-100;35JQ35-0;131689/01;131689/01;131689/01;;;
35973-100;43HJ46-3;331721/00;331721/00;331721/00;;;
35974-100;80KD08-0;331726;331726;331726;;;
35975-100;50KF90-0;331603/00;331603/00;331603/00;;;
35976-100;70KH06-0;131725/01;131725/01;131725/01;;;
35977-100;70XD52-0;131733/00;131733/00;131733/00;;;
35978-100;45HJ38-0; ; ;103080055024/01;;;
35980-100;78HQ96-0;C.507566/B;C.507566/B;C.507566/B;;;
35981-100;81PG34-0;2.509400/D;2.509400/D;2.509400/D;;;
35982-100;43TA90-0;2.511665/D;2.511665/D;2.511665/D;;;
35983-100;38CB26-0;2.511603/C;2.511603/C;2.511603/C;;;
35984-100;04PW65-0;1.512563/B;1.512563/B;1.512563/B;;;
35985-100;82MT60-0;293000AVV006/00;293000AVV006/00;293000AVV006/00;;;
35986-100;18GM53-0; ;;104720DBX021/04;;;
35987-100;38VX30-0;38VX30-3;;;;;
35988-100;93DR09-0;93DR09-3;;104560DBX021/02;;;
35989-100;65JC09-0; ;;;;;
35990-100;44LT25-0;44LT25-3;;147320056021/01;;;
35991-100;86RH93-0;131756/01;;;;;
35992-100;93TX14-0;;;131758/02;;;
35993-100;32QY64-0;131759/00;;;;;
35994-100;70BM82-0;93AJ96-3;;131748/01;;;
35995-100;09PY92-0;131757/01;;;;;
35996-100;97LX81-0;204400DBX122/00;;;;;
35997-100;73TH87-0;204480DBX122/00;;;;;
35998-100;86RL76-0;204560DBX122/00;;;;;
35999-100;41FT24-0;204480DBX022/02;;;;;
41229-200;0452548-3;0452548-3;;10-335/06;;;
55462-100;63LC41/1-3;233-907/01;233-907/01;164400RGH022/01;;;
55463-100;47EG34-0;67FT88-3;;164560RGH022/03;;;
00630-200;51462508-0;;;51462508 D;Kalacak;;
00632-200;51542910-0;;;51542910 A;;2;
00646-200;51633003-0;;;51633003-D;Kalacak;;
57000-200;960-020-419-0;;;452-240-001-105;Kalacak;;
57001-200;960-020-420-0;;;452-240-001-106;Kalacak;;
40704-200;12019-0;;;0177-000-0;;;
40718-200;12018-0;12018-3;;0252-000;;;
40764-200;20409-0;;;0259-001-C;;2;
40755-200;15411-0;;;0290-0003-C ;Kalacak;;
40713-200;11997-0;11997-3;;0290-004-B;;2;
40754-200;14406-0;;;0321-001-01;;;5
40789-200;14407-0;;;0324-000-B;;;
40772-100;14405-0;;;0331-00B-A;;;5
40775-200;12026-0;;;0337-001-B;;;
40752-200;14408-0;;;0369-001-B;;;5
40745-200;14402-0;;;0377-000-A;Kalacak;;
40763-200;14880-0;;;0554-010-0;;;
40776-200;14881-0;;;0554-012-A;;;
40773-200;14903-0;;;0554-020-A;;;
40738-200;14036-0;0554-031;0554-031;0554-030;;;5
40771-200;14883-0;;;0555-010-0;;;5
40762-200;14886-0;;0555-012-A, 108470 ;0555-012-A, 108470 ;;;
40766-200;14895-0;;;0555-016-0;;;5
40746-200;14905-0;;;0555-020-0;;2;
40768-200;14906-0;;;0555-022-A/NW 108.7.87 ;Kalacak;;
40751-200;14878-0;;;0555-030-0;Kalacak;;
40711-200;14875-0; ;;0560-001-B;;;
41068-200;12055-0;;;1000.4.69 / 0365-000 B;Kalacak;;
40748-100;12056-0;;;1000.6.69 ;;2;
40759-200;14413-0;;;1000-30-69/0351-000-D;Kalacak;;
40716-200;13136-0;;;1000-618-A / 1021-168-A;;;
30128-200;13144-0;;1000-621;1000-621;;;
40741-200;14483-0;;;1001-006-F;Kalacak;;
40703-200;15723-0;15723-3;;1001-643-C;Kalacak;;
40707-200;15823-0;15824-3;;1001-915-00;;;5
40708-200;10912-0;10912-3;;1001-915-00;;;5
40740-200;21900-0;21900-3;;1001-956-a;Kalacak;;
40706-200;16426-0;16426-3;;1001-958-01-1001-958-D;Kalacak;;
40709-200;16264-0;16264-3;;1002-032-01/1002-032-A;Kalacak;;
40700-200;16550-0;16550-3;;1002-104-01/1002-104-F;Kalacak;;
40750-200;17147-0;;;1002-298;Kalacak;;
40769-200;17148-0;17150-3;;1002-315-D;Kalacak;;
40733-200;17380-0;17380-3;;1002-368-C;Kalacak;;
40701-100;41503-0;41503-3;;1002-386-A;Kalacak;;
40701-200;16960-0;16961-3;;1002-386-B;Kalacak;;
40702-200;17445-0;1002-387-00;;1002-387-A;Kalacak;;
40737-100;41498-0;41498-3;;1002-419-F;Kalacak;;
40737-200;17060-0;;1002-419-F;1002-419-F;;2;
40760-200;17063-0;17171-3;;1002-422-C;Kalacak;;
40720-100;41499-0;41499-3;;1002-431-A;Kalacak;;
40720-200;17166-0;17166-3;;1002-431-A;Kalacak;;
40739-200;17058-0;1002-434;;1002-434-F;Kalacak;;
40743-200;19730-0;23923-3;;1003-445-C;Kalacak;;
40715-200;19731-0;;;1003-577-H;Kalacak;;
40710-200;19796-0;20013-3;;1003-610-G;Kalacak;;
40747-200;13140-0;;;1004-163;;2;
40717-200;18247-0;;;1004-216-00;Kalacak;;
40714-200;21653-0;;;1004-696-B;Kalacak;;
40721-200;22614-0;;;1005-673;;;
40722-200;22881-0;;;1005-805-A;;;
40728-200;23446-0;;;1005-923-C;Kalacak;;
40727-200;23447-0;;;1005-924-A;;2;
40725-200;23342-0; ;;1006-074-C;Kalacak;;
40726-200;23341-0;; ;1006-075-C;Kalacak;;
40723-200;23340-0;; ;1006-078-01/C;Kalacak;;
40735-200;18222-0; ;;1006-080-A;Kalacak;;
40729-200;23427-0;23427-3;;1006-127-A;Kalacak;;
40731-200;28248-0;23612-3;;1006-318-A;;2;
40730-200;23611-0;23611-3;;1006-323-A;;;
40732-200;23634-0;;;1006-340-G;;;
40734-200;23740-0;23740-3;;1006-406-2-D;Kalacak;;
40736-200;23871-0;25183-3;;1006-552-a;;2;
40742-200;24274-0;24273-3;;1007-140-B;Kalacak;;
40712-200;27299-0;27299-3;;1008-148-00;Kalacak;;
40719-200;41463-0;41463-3;;1008-153-00;;2;
40774-200;28270-0;28270-3;;1008-827;;2;
40778-200;28674-3;28676-3;;1009-132;;;
40777-200;28551-0;28551-3;;1009-164;;;
40779-200;28858-0;28858-3;;1009-339;;;
40780-200;28847-0;28847-3;;1009-364-C;;2;
40782-200;28864-0;28864-3;;1009-391;;2;
40781-200;28871-0;28871-3;;1009-403;Kalacak;;
40786-200;28912-0;28912-3;;1009-546;Kalacak;;
40783-200;28988-0;28988-3;;1009-558;;2;
40784-200;29283-0;29283-3;;1009-794;;;5
40787-100;29957-0;;1010-251-B;1010-251-B;;;5
40788-200;40222-0;;;1010-301-B;;;5
40790-200;40775-0;40775-3;;1010-835;;;5
40793-200;43248-0;;;1012-690-A;;2;
40794-200;43228-0;;;1012-692-A;;2;
40799-200;53889-0;;;1012-776;;2;
40795-200;43336-0;;;1012-819;;2;
